location,total_sqft,bath,price,bhk
7TH PHASE JP NAGAR,1270.0,2,80.0,2
7TH PHASE JP NAGAR,980.0,2,86.0,2
7TH PHASE JP NAGAR,980.0,2,77.44,2
7TH PHASE JP NAGAR,1400.0,3,115.0,3
7TH PHASE JP NAGAR,1450.0,3,100.0,3
7TH PHASE JP NAGAR,1080.0,2,75.0,2
7TH PHASE JP NAGAR,1050.0,2,75.0,2
7TH PHASE JP NAGAR,1128.0,2,60.0,2
7TH PHASE JP NAGAR,1450.0,2,102.0,3
7TH PHASE JP NAGAR,1680.0,3,117.0,3
7TH PHASE JP NAGAR,1200.0,2,62.5,2
7TH PHASE JP NAGAR,1800.0,3,130.0,3
7TH PHASE JP NAGAR,1245.0,2,94.0,2
7TH PHASE JP NAGAR,1300.0,3,89.13,3
7TH PHASE JP NAGAR,2095.0,3,150.0,3
7TH PHASE JP NAGAR,750.0,1,47.0,1
7TH PHASE JP NAGAR,1460.0,2,100.0,3
7TH PHASE JP NAGAR,1680.0,3,125.0,3
7TH PHASE JP NAGAR,1275.0,2,87.0,2
7TH PHASE JP NAGAR,1120.0,2,65.0,2
7TH PHASE JP NAGAR,2225.0,3,160.0,3
7TH PHASE JP NAGAR,1275.0,2,88.0,3
7TH PHASE JP NAGAR,1400.0,2,95.0,3
7TH PHASE JP NAGAR,1140.0,2,57.0,2
7TH PHASE JP NAGAR,1850.0,3,140.0,3
7TH PHASE JP NAGAR,1000.0,2,60.0,2
7TH PHASE JP NAGAR,1000.0,2,61.0,2
7TH PHASE JP NAGAR,1050.0,2,50.0,2
7TH PHASE JP NAGAR,1680.0,3,112.0,3
7TH PHASE JP NAGAR,1175.0,2,82.5,2
7TH PHASE JP NAGAR,1180.0,2,72.0,2
7TH PHASE JP NAGAR,1680.0,3,117.0,3
7TH PHASE JP NAGAR,918.0,2,50.49,2
7TH PHASE JP NAGAR,1236.0,2,61.33,2
7TH PHASE JP NAGAR,1575.0,2,120.0,3
7TH PHASE JP NAGAR,1175.0,2,82.0,2
7TH PHASE JP NAGAR,1530.0,2,108.0,2
7TH PHASE JP NAGAR,1100.0,3,60.0,2
8TH PHASE JP NAGAR,1408.0,3,80.0,3
8TH PHASE JP NAGAR,1510.0,2,80.0,2
8TH PHASE JP NAGAR,1504.0,2,83.0,3
8TH PHASE JP NAGAR,1900.0,4,90.0,3
8TH PHASE JP NAGAR,500.0,1,31.0,1
8TH PHASE JP NAGAR,1073.5,2,54.005,2
8TH PHASE JP NAGAR,1800.0,3,80.0,3
8TH PHASE JP NAGAR,1100.0,2,35.0,2
8TH PHASE JP NAGAR,2100.0,4,92.0,4
8TH PHASE JP NAGAR,871.0,2,55.0,2
8TH PHASE JP NAGAR,1513.0,2,62.0,2
8TH PHASE JP NAGAR,1080.0,2,38.0,2
8TH PHASE JP NAGAR,1089.0,2,43.55,2
8TH PHASE JP NAGAR,1059.0,2,34.5,2
8TH PHASE JP NAGAR,500.0,1,33.0,1
8TH PHASE JP NAGAR,1298.0,2,59.0,2
8TH PHASE JP NAGAR,1035.0,2,39.33,2
8TH PHASE JP NAGAR,1089.0,2,43.55,2
8TH PHASE JP NAGAR,2700.0,4,130.0,4
8TH PHASE JP NAGAR,1245.0,2,59.0,2
8TH PHASE JP NAGAR,1006.0,2,44.0,2
8TH PHASE JP NAGAR,909.0,2,40.9,2
9TH PHASE JP NAGAR,1100.0,2,65.0,2
9TH PHASE JP NAGAR,1780.0,3,88.0,3
9TH PHASE JP NAGAR,5000.0,4,290.0,4
9TH PHASE JP NAGAR,1005.0,2,43.0,2
9TH PHASE JP NAGAR,600.0,1,20.0,1
9TH PHASE JP NAGAR,1080.0,2,37.0,2
9TH PHASE JP NAGAR,1164.0,2,56.0,2
9TH PHASE JP NAGAR,1719.3,2,88.0,3
9TH PHASE JP NAGAR,1890.0,2,93.0,3
9TH PHASE JP NAGAR,1035.0,2,45.0,2
9TH PHASE JP NAGAR,1079.0,2,60.0,2
9TH PHASE JP NAGAR,1480.0,2,80.0,2
9TH PHASE JP NAGAR,905.0,2,32.0,2
9TH PHASE JP NAGAR,1073.0,2,52.36,2
9TH PHASE JP NAGAR,1522.0,3,90.0,3
9TH PHASE JP NAGAR,660.0,2,27.0,2
9TH PHASE JP NAGAR,835.0,2,37.0,2
9TH PHASE JP NAGAR,1466.0,2,71.0,2
ABBIGERE,2200.0,6,68.0,6
ABBIGERE,1130.0,2,46.33,2
ABBIGERE,880.0,2,35.0,2
ABBIGERE,985.0,2,40.39,2
ABBIGERE,1005.0,2,39.59,2
ABBIGERE,1020.0,2,41.82,2
ABBIGERE,795.0,2,32.54,2
ABBIGERE,3000.0,8,150.0,8
ABBIGERE,765.0,2,30.0,1
ABBIGERE,1000.0,2,41.0,2
ABBIGERE,985.0,2,38.92,2
ABBIGERE,734.0,1,19.82,1
ABBIGERE,795.0,1,32.6,2
ABBIGERE,1020.0,2,40.8,2
AKSHAYA NAGAR,1690.0,3,85.0,3
AKSHAYA NAGAR,1300.0,2,66.0,2
AKSHAYA NAGAR,1575.0,3,90.0,3
AKSHAYA NAGAR,1666.0,3,95.0,3
AKSHAYA NAGAR,1265.0,2,67.0,2
AKSHAYA NAGAR,1092.0,2,60.0,2
AKSHAYA NAGAR,1412.0,2,88.0,3
AKSHAYA NAGAR,900.0,2,45.0,2
AKSHAYA NAGAR,1820.0,4,95.0,3
AKSHAYA NAGAR,1897.0,4,93.0,3
AKSHAYA NAGAR,1421.0,2,73.0,3
AKSHAYA NAGAR,1314.0,2,68.8,2
AKSHAYA NAGAR,1070.0,2,54.0,2
AKSHAYA NAGAR,1388.0,2,57.0,2
AKSHAYA NAGAR,1179.0,2,51.0,2
AKSHAYA NAGAR,1662.0,3,85.0,3
AKSHAYA NAGAR,1126.0,2,55.0,2
AKSHAYA NAGAR,1434.0,3,84.0,3
AKSHAYA NAGAR,1280.0,2,60.0,2
AKSHAYA NAGAR,1893.0,4,95.0,3
AKSHAYA NAGAR,1890.0,4,100.0,3
AKSHAYA NAGAR,1430.0,2,75.0,3
AKSHAYA NAGAR,1690.0,3,85.0,3
AKSHAYA NAGAR,1280.0,2,60.0,2
AKSHAYA NAGAR,1419.0,2,73.0,3
AKSHAYA NAGAR,1662.0,3,85.1,3
AKSHAYA NAGAR,1897.0,3,120.0,3
AKSHAYA NAGAR,1300.0,2,54.0,2
AKSHAYA NAGAR,1410.0,2,80.0,3
AKSHAYA NAGAR,1225.0,2,68.0,2
AKSHAYA NAGAR,1419.0,2,87.0,3
AMBALIPURA,1150.0,2,80.0,2
AMBALIPURA,1250.0,2,66.25,2
AMBALIPURA,1351.0,2,77.0,2
AMBALIPURA,1332.0,2,79.0,2
AMBALIPURA,1303.0,2,80.0,2
AMBALIPURA,1198.0,2,80.0,2
AMBALIPURA,1730.0,3,120.0,3
AMBALIPURA,1060.0,2,58.5,2
AMBALIPURA,2750.0,4,142.0,4
AMBALIPURA,1607.0,2,112.0,3
AMBALIPURA,2550.0,4,149.0,4
AMBALIPURA,1700.0,2,76.0,2
AMBALIPURA,1650.0,3,100.0,3
AMBALIPURA,1105.0,2,75.0,2
AMBEDKAR NAGAR,1852.0,4,122.0,3
AMBEDKAR NAGAR,1850.0,4,121.0,3
AMBEDKAR NAGAR,1850.0,4,139.0,3
AMBEDKAR NAGAR,1862.0,3,120.0,3
AMBEDKAR NAGAR,2150.0,4,125.0,3
AMBEDKAR NAGAR,1935.0,4,130.0,3
AMBEDKAR NAGAR,2395.0,4,150.0,3
AMBEDKAR NAGAR,1936.0,4,126.0,3
AMBEDKAR NAGAR,3565.0,4,255.0,4
AMBEDKAR NAGAR,1935.0,4,125.0,3
AMBEDKAR NAGAR,3530.0,4,290.0,4
AMBEDKAR NAGAR,1950.0,4,120.0,3
AMBEDKAR NAGAR,1367.0,2,86.0,2
AMBEDKAR NAGAR,1425.0,2,94.0,2
AMBEDKAR NAGAR,1856.0,3,120.0,3
AMBEDKAR NAGAR,1409.0,2,95.0,2
AMBEDKAR NAGAR,1920.0,4,121.0,3
AMRUTHAHALLI,1450.0,2,85.0,3
AMRUTHAHALLI,1200.0,2,55.0,2
AMRUTHAHALLI,1250.0,2,79.0,2
AMRUTHAHALLI,924.0,2,45.0,2
AMRUTHAHALLI,1200.0,2,55.0,2
AMRUTHAHALLI,1100.0,2,45.0,2
AMRUTHAHALLI,1202.0,2,65.0,2
AMRUTHAHALLI,900.0,2,60.0,2
AMRUTHAHALLI,900.0,2,40.0,2
AMRUTHAHALLI,1900.0,3,135.0,3
AMRUTHAHALLI,1200.0,2,55.0,2
AMRUTHAHALLI,2650.0,4,175.0,3
AMRUTHAHALLI,485.0,1,19.5,1
AMRUTHAHALLI,1025.0,2,42.0,2
ANANDAPURA,1200.0,2,66.0,3
ANANDAPURA,1415.0,2,74.0,3
ANANDAPURA,1000.0,2,55.0,2
ANANDAPURA,1200.0,2,67.0,2
ANANDAPURA,1200.0,2,58.0,2
ANANDAPURA,1200.0,2,58.0,2
ANANDAPURA,900.0,2,48.0,2
ANANDAPURA,1141.0,2,50.0,2
ANANTH NAGAR,1319.0,3,42.0,3
ANANTH NAGAR,908.0,2,26.0,2
ANANTH NAGAR,992.0,2,24.8,2
ANANTH NAGAR,500.0,1,14.0,1
ANANTH NAGAR,960.0,2,37.0,2
ANANTH NAGAR,870.0,2,36.0,2
ANANTH NAGAR,850.0,2,25.99,2
ANANTH NAGAR,1000.0,2,25.0,2
ANANTH NAGAR,900.0,2,22.5,2
ANANTH NAGAR,890.0,2,27.0,2
ANANTH NAGAR,1470.0,3,54.0,3
ANANTH NAGAR,1000.0,2,29.7,2
ANANTH NAGAR,902.0,2,25.0,2
ANANTH NAGAR,902.0,2,25.26,2
ANANTH NAGAR,1200.0,2,36.0,2
ANANTH NAGAR,810.0,2,25.5,2
ANEKAL,456.0,1,15.0,1
ANEKAL,2400.0,4,95.0,3
ANEKAL,614.0,1,28.0,2
ANEKAL,625.0,1,25.0,2
ANEKAL,766.0,2,28.0,2
ANEKAL,967.0,2,45.0,3
ANEKAL,1035.0,2,38.3,2
ANEKAL,530.0,1,18.0,1
ANEKAL,925.0,2,40.0,2
ANEKAL,656.0,2,22.0,2
ANEKAL,1200.0,2,36.1,2
ANEKAL,620.0,2,22.0,2
ANEKAL,420.0,1,12.5,1
ANEKAL,1140.0,2,52.0,2
ANEKAL,1200.0,2,36.0,4
ANEKAL,680.0,1,21.0,2
ANEKAL,1150.0,3,45.0,3
ANJANAPURA,950.0,2,30.0,2
ANJANAPURA,950.0,2,40.0,2
ANJANAPURA,710.0,2,25.0,2
ANJANAPURA,1070.0,2,39.0,2
ANJANAPURA,1280.0,2,45.0,3
ANJANAPURA,1070.0,2,37.0,2
ANJANAPURA,950.0,2,32.0,2
ANJANAPURA,1843.0,3,87.54,3
ANJANAPURA,1076.0,2,30.13,2
ANJANAPURA,1500.0,3,121.0,3
ANJANAPURA,1850.0,4,86.0,4
ARDENDALE,1650.0,3,82.0,3
ARDENDALE,1750.0,3,100.0,3
ARDENDALE,1777.26,3,89.0,3
ARDENDALE,1723.0,3,95.0,3
ARDENDALE,1750.0,3,100.0,3
ARDENDALE,1728.0,3,95.0,3
ARDENDALE,3200.0,4,205.0,4
ARDENDALE,1224.0,2,67.0,2
ARDENDALE,2062.0,3,150.0,4
ARDENDALE,1777.26,3,105.0,3
ARDENDALE,1777.26,3,92.0,3
ARDENDALE,1732.46,3,92.0,3
ARDENDALE,3198.0,4,200.0,4
ARDENDALE,1650.0,3,82.0,3
ARDENDALE,2422.0,4,160.0,4
AREKERE,600.0,1,28.0,1
AREKERE,1240.0,2,60.0,2
AREKERE,900.0,2,50.0,2
AREKERE,2072.0,3,108.0,3
AREKERE,900.0,2,44.5,2
AREKERE,1740.0,2,95.0,3
AREKERE,2060.0,3,140.0,3
AREKERE,1100.0,2,55.0,2
ATTIBELE,1500.0,3,90.0,3
ATTIBELE,550.0,1,11.5,1
ATTIBELE,1000.0,2,42.0,2
ATTIBELE,2168.0,4,95.0,4
ATTIBELE,400.0,1,12.0,1
ATTIBELE,400.0,1,14.0,1
ATTIBELE,450.0,1,12.5,1
ATTIBELE,418.0,2,11.5,1
ATTIBELE,520.0,1,15.0,1
ATTIBELE,1200.0,2,42.0,2
ATTIBELE,900.0,1,25.0,2
ATTIBELE,400.0,1,11.0,1
ATTIBELE,450.0,1,11.0,1
ATTIBELE,500.0,1,17.0,1
ATTIBELE,782.0,1,19.55,1
ATTIBELE,400.0,1,10.25,1
ATTIBELE,2400.0,3,120.0,3
ATTIBELE,400.0,1,10.0,1
ATTIBELE,410.0,1,10.0,1
ATTIBELE,695.0,1,25.0,2
ATTIBELE,418.0,1,12.0,1
ATTIBELE,656.0,2,25.0,2
BABUSAPALAYA,1061.0,2,34.0,2
BABUSAPALAYA,1611.0,2,66.0,3
BABUSAPALAYA,1141.0,2,45.9,2
BABUSAPALAYA,1410.0,2,65.0,3
BABUSAPALAYA,1141.0,2,46.0,2
BABUSAPALAYA,1061.0,2,33.84,2
BABUSAPALAYA,1500.0,2,57.0,2
BABUSAPALAYA,1061.0,2,38.95,2
BABUSAPALAYA,1305.0,2,70.0,2
BABUSAPALAYA,1084.0,2,58.0,2
BABUSAPALAYA,1450.0,2,55.99,2
BALAGERE,1210.0,2,82.0,2
BALAGERE,1007.0,2,67.0,2
BALAGERE,1205.0,2,73.87,2
BALAGERE,1205.0,2,79.0,2
BALAGERE,1210.0,2,80.9,2
BALAGERE,790.5,1,41.9,1
BALAGERE,1007.0,2,62.0,2
BALAGERE,1007.0,2,68.0,2
BALAGERE,1205.47,2,81.0,2
BALAGERE,1205.0,2,78.5,2
BALAGERE,1012.0,2,64.0,2
BALAGERE,1012.0,2,65.0,2
BALAGERE,656.0,1,38.77,1
BALAGERE,1210.0,2,74.0,2
BALAGERE,1012.0,2,68.0,2
BALAGERE,675.0,1,45.0,1
BALAGERE,1007.0,2,65.0,2
BALAGERE,656.0,1,43.0,1
BALAGERE,656.0,1,34.77,1
BALAGERE,645.0,1,39.0,1
BALAGERE,1210.0,2,83.0,2
BALAGERE,645.0,1,41.0,1
BALAGERE,645.0,1,34.18,1
BANASHANKARI,1077.0,2,37.64,2
BANASHANKARI,1125.0,2,63.0,2
BANASHANKARI,1650.0,3,101.0,3
BANASHANKARI,1100.0,2,63.0,2
BANASHANKARI,1200.0,2,49.0,2
BANASHANKARI,1040.0,2,45.0,2
BANASHANKARI,1041.0,2,36.44,2
BANASHANKARI,1186.0,2,65.0,2
BANASHANKARI,1800.0,3,125.0,3
BANASHANKARI,1800.0,3,115.0,3
BANASHANKARI,1450.0,2,50.75,2
BANASHANKARI,1600.0,2,63.98,2
BANASHANKARI,1540.0,3,80.0,3
BANASHANKARI,1770.0,3,108.0,3
BANASHANKARI,2600.0,4,135.0,3
BANASHANKARI,1200.0,3,74.52,3
BANASHANKARI,1105.0,2,90.0,2
BANASHANKARI,1390.0,2,86.0,2
BANASHANKARI,1310.0,2,80.0,2
BANASHANKARI,1900.0,2,170.0,3
BANASHANKARI,1175.0,2,41.13,2
BANASHANKARI,1426.0,3,85.0,3
BANASHANKARI,1350.0,2,83.0,3
BANASHANKARI,1800.0,3,125.0,3
BANASHANKARI,1310.0,2,80.43,2
BANASHANKARI,1300.0,2,75.0,3
BANASHANKARI,1650.0,3,90.75,3
BANASHANKARI,1430.0,2,87.8,2
BANASHANKARI,1185.0,2,67.0,2
BANASHANKARI,1170.0,2,46.79,2
BANASHANKARI,1470.0,2,88.64,3
BANASHANKARI,1330.0,2,78.0,2
BANASHANKARI,1260.0,2,75.0,2
BANASHANKARI STAGE II,1200.0,2,150.0,4
BANASHANKARI STAGE II,1500.0,2,120.0,3
BANASHANKARI STAGE II,1400.0,2,100.0,2
BANASHANKARI STAGE II,1200.0,2,198.0,3
BANASHANKARI STAGE II,1240.0,2,59.52,3
BANASHANKARI STAGE II,2800.0,3,425.0,5
BANASHANKARI STAGE II,2400.0,3,510.0,5
BANASHANKARI STAGE II,1250.0,2,110.0,2
BANASHANKARI STAGE II,2400.0,2,300.0,3
BANASHANKARI STAGE III,1480.0,3,75.48,3
BANASHANKARI STAGE III,1145.0,2,58.4,2
BANASHANKARI STAGE III,1305.0,2,59.0,3
BANASHANKARI STAGE III,1305.0,2,58.7,3
BANASHANKARI STAGE III,1304.0,2,111.0,2
BANASHANKARI STAGE III,1085.0,2,50.0,2
BANASHANKARI STAGE III,2000.0,4,100.0,4
BANASHANKARI STAGE III,1650.0,3,118.0,3
BANASHANKARI STAGE III,2400.0,4,240.0,4
BANASHANKARI STAGE III,3000.0,6,150.0,6
BANASHANKARI STAGE III,1305.0,2,60.0,3
BANASHANKARI STAGE VI,4800.0,3,200.0,4
BANASHANKARI STAGE VI,2800.0,4,89.0,4
BANASHANKARI STAGE VI,1160.0,2,59.0,2
BANASHANKARI STAGE VI,4800.0,4,190.0,4
BANASHANKARI STAGE VI,1410.5,2,70.385,3
BANASHANKARI STAGE VI,2200.0,4,195.0,4
BANASWADI,1008.0,2,52.0,2
BANASWADI,1145.0,2,55.0,2
BANASWADI,1365.0,2,73.0,2
BANASWADI,1903.0,6,140.0,5
BANASWADI,1105.0,2,57.0,2
BANASWADI,1200.0,2,60.0,2
BANASWADI,1222.0,2,80.0,2
BANASWADI,1250.0,2,60.0,2
BANASWADI,1340.0,2,73.0,2
BANASWADI,1184.0,2,53.0,2
BANNERGHATTA ROAD,1920.0,3,122.0,3
BANNERGHATTA ROAD,905.0,2,58.0,2
BANNERGHATTA ROAD,1150.0,2,55.0,2
BANNERGHATTA ROAD,1179.0,2,66.02,2
BANNERGHATTA ROAD,1445.0,3,95.0,3
BANNERGHATTA ROAD,1550.0,3,82.0,3
BANNERGHATTA ROAD,1655.0,3,95.0,3
BANNERGHATTA ROAD,1527.0,3,142.0,3
BANNERGHATTA ROAD,1247.0,2,47.39,2
BANNERGHATTA ROAD,1340.0,2,85.0,2
BANNERGHATTA ROAD,1450.0,2,78.0,3
BANNERGHATTA ROAD,1640.0,3,105.0,3
BANNERGHATTA ROAD,1268.0,2,69.0,2
BANNERGHATTA ROAD,1650.0,3,122.0,3
BANNERGHATTA ROAD,1850.0,6,150.0,6
BANNERGHATTA ROAD,1200.0,2,65.0,2
BANNERGHATTA ROAD,1170.0,2,66.0,3
BANNERGHATTA ROAD,960.0,2,58.0,2
BANNERGHATTA ROAD,1846.0,3,120.0,3
BANNERGHATTA ROAD,1012.0,2,45.0,2
BANNERGHATTA ROAD,1725.0,3,110.0,3
BANNERGHATTA ROAD,2700.0,4,260.0,4
BANNERGHATTA ROAD,1220.0,2,80.0,2
BANNERGHATTA ROAD,1527.0,3,115.0,3
BANNERGHATTA ROAD,1275.0,2,73.0,2
BANNERGHATTA ROAD,1200.0,2,75.0,2
BANNERGHATTA ROAD,1000.0,2,44.5,2
BANNERGHATTA ROAD,1640.0,2,120.0,3
BANNERGHATTA ROAD,700.0,1,31.2,1
BANNERGHATTA ROAD,1136.0,2,48.0,2
BANNERGHATTA ROAD,1270.0,2,73.0,3
BANNERGHATTA ROAD,1206.0,2,53.0,2
BANNERGHATTA ROAD,1246.0,2,47.35,2
BANNERGHATTA ROAD,1470.0,2,85.0,3
BANNERGHATTA ROAD,1520.0,2,80.0,3
BANNERGHATTA ROAD,1460.0,2,90.0,3
BANNERGHATTA ROAD,1270.0,2,45.0,2
BANNERGHATTA ROAD,1200.0,2,78.0,2
BANNERGHATTA ROAD,1240.0,2,65.0,2
BANNERGHATTA ROAD,1302.5,2,67.73,2
BANNERGHATTA ROAD,905.0,2,65.0,2
BANNERGHATTA ROAD,2932.0,5,195.0,4
BANNERGHATTA ROAD,2400.0,4,180.0,4
BANNERGHATTA ROAD,1105.0,2,51.0,2
BANNERGHATTA ROAD,1157.0,2,40.0,2
BANNERGHATTA ROAD,630.0,1,35.0,1
BANNERGHATTA ROAD,1000.0,2,50.0,2
BANNERGHATTA ROAD,1122.5,2,61.74,2
BANNERGHATTA ROAD,1460.0,2,80.0,3
BANNERGHATTA ROAD,1510.0,2,110.0,3
BANNERGHATTA ROAD,1022.0,2,35.0,2
BANNERGHATTA ROAD,1250.0,2,48.0,2
BANNERGHATTA ROAD,1215.0,2,50.0,2
BANNERGHATTA ROAD,1750.0,3,130.0,3
BANNERGHATTA ROAD,1218.0,2,73.0,2
BANNERGHATTA ROAD,1532.5,3,79.465,3
BANNERGHATTA ROAD,1115.0,2,78.0,2
BANNERGHATTA ROAD,1012.0,2,44.0,2
BANNERGHATTA ROAD,912.0,2,55.0,2
BANNERGHATTA ROAD,1181.0,2,55.0,2
BANNERGHATTA ROAD,1532.5,3,84.29,3
BANNERGHATTA ROAD,1100.0,2,39.0,2
BANNERGHATTA ROAD,1130.0,2,78.0,2
BANNERGHATTA ROAD,1150.0,2,65.0,2
BANNERGHATTA ROAD,1160.0,2,45.0,2
BANNERGHATTA ROAD,793.0,2,45.0,2
BANNERGHATTA ROAD,1711.0,3,125.0,3
BANNERGHATTA ROAD,1520.0,2,81.0,3
BANNERGHATTA ROAD,1115.0,2,65.12,2
BANNERGHATTA ROAD,1200.0,2,69.0,3
BANNERGHATTA ROAD,1893.0,3,100.0,3
BANNERGHATTA ROAD,1115.0,2,61.0,2
BANNERGHATTA ROAD,1050.0,2,65.0,2
BANNERGHATTA ROAD,892.0,2,39.0,2
BANNERGHATTA ROAD,500.0,1,18.5,1
BANNERGHATTA ROAD,1550.0,3,96.0,3
BANNERGHATTA ROAD,1654.0,3,100.0,3
BANNERGHATTA ROAD,1240.0,2,71.0,2
BANNERGHATTA ROAD,595.0,1,31.83,1
BANNERGHATTA ROAD,1655.0,3,90.0,3
BANNERGHATTA ROAD,1894.0,3,115.0,3
BANNERGHATTA ROAD,1154.0,2,47.0,2
BANNERGHATTA ROAD,970.0,2,57.0,2
BANNERGHATTA ROAD,1476.0,3,125.0,3
BANNERGHATTA ROAD,950.0,2,38.0,2
BANNERGHATTA ROAD,1275.0,2,65.0,2
BANNERGHATTA ROAD,1280.0,2,60.16,2
BASAVANGUDI,1542.14,3,120.0,3
BASAVANGUDI,1180.0,2,124.0,2
BASAVANGUDI,1485.0,3,140.0,3
BASAVANGUDI,1650.0,3,125.0,3
BASAVANGUDI,2200.0,2,162.0,3
BASAVANGUDI,1100.0,2,93.0,2
BASAVANGUDI,2600.0,4,260.0,4
BASAVANGUDI,1036.0,2,105.0,2
BASAVANGUDI,1800.0,3,195.0,3
BASAVANGUDI,1850.0,3,168.0,3
BASAVANGUDI,1050.0,2,103.0,2
BASAVANGUDI,1500.0,2,143.0,3
BASAVANGUDI,1850.0,3,150.0,3
BASAVANGUDI,670.0,1,50.0,1
BASAVANGUDI,1600.0,2,160.0,3
BASAVANGUDI,1825.0,3,175.0,3
BASAVANGUDI,1200.0,2,120.0,2
BASAVESHWARA NAGAR,1200.0,2,70.0,2
BASAVESHWARA NAGAR,2460.0,7,350.0,7
BASAVESHWARA NAGAR,1200.0,2,90.0,2
BASAVESHWARA NAGAR,1865.0,3,145.0,3
BASAVESHWARA NAGAR,4500.0,5,415.0,5
BASAVESHWARA NAGAR,900.0,2,60.0,2
BATTARAHALLI,1090.0,2,38.37,2
BATTARAHALLI,1200.0,2,65.0,2
BATTARAHALLI,1945.0,3,97.42,3
BATTARAHALLI,1165.0,2,43.0,2
BATTARAHALLI,1097.0,2,49.0,2
BATTARAHALLI,1880.0,3,94.36,3
BATTARAHALLI,2082.0,3,104.0,3
BATTARAHALLI,1636.0,2,82.89,2
BATTARAHALLI,1779.0,3,90.0,3
BATTARAHALLI,1071.0,2,62.0,2
BATTARAHALLI,2024.0,3,103.0,3
BATTARAHALLI,1276.0,2,45.0,2
BEGUR ROAD,1160.0,2,40.59,2
BEGUR ROAD,1215.0,2,43.75,2
BEGUR ROAD,1334.0,2,42.69,2
BEGUR ROAD,1200.0,2,45.0,2
BEGUR ROAD,1410.0,2,54.99,3
BEGUR ROAD,1500.0,2,55.0,3
